Date,Open,High,Low,Close,Adj Close,Volume
,BND,BND,BND,BND,,BND
2015-01-02,62.40651852668254,62.603362249496705,62.398946059162675,62.57307815551758,62.57307815551758,2218800
2015-01-05,62.641273018989416,62.777548684340324,62.61098889601079,62.75483703613281,62.75483703613281,5820100
2015-01-06,62.86082365343247,63.125802488602375,62.86082365343247,62.93653106689453,62.93653106689453,3887600
2015-01-07,62.94408875027988,63.050080259441636,62.8759538270062,62.97437286376953,62.97437286376953,2433400
2015-01-08,62.921361686576134,62.921361686576134,62.815370203393876,62.875938415527344,62.875938415527344,1873400
2015-01-09,62.845680835165815,63.05766389100346,62.83810836142731,62.981956481933594,62.981956481933594,1646100
2015-01-12,63.027374733681015,63.08794296653705,62.98951814411985,63.06523132324219,63.06523132324219,4397900
2015-01-13,63.072820566547875,63.193957075561904,63.01225808814753,63.125816345214844,63.125816345214844,2223400
2015-01-14,63.32261854647026,63.383186761054944,63.25448363713963,63.269622802734375,63.269622802734375,2481200
2015-01-15,63.25448843337837,63.564890448480945,63.25448843337837,63.54975128173828,63.54975128173828,4214500
2015-01-16,63.45131253611413,63.481596639046856,63.27718616437847,63.36046600341797,63.36046600341797,3631300
2015-01-20,63.368061988015654,63.466486812067934,63.269642940068074,63.292354583740234,63.292354583740234,3029500
2015-01-21,63.43618233123572,63.4437548020638,63.16363114245317,63.17120361328125,63.17120361328125,2473900
2015-01-22,63.31506256294736,63.31506256294736,63.11822447844453,63.18635940551758,63.18635940551758,2157400
2015-01-23,63.32262926153227,63.42104829480909,63.299917621245605,63.390769958496094,63.390769958496094,6255000
2015-01-26,63.39079956920677,63.405938744434984,63.27723553862229,63.315086364746094,63.315086364746094,7810500
2015-01-27,63.489211457059795,63.51192310538284,63.31507919307329,63.352935791015625,63.352935791015625,1154100
2015-01-28,63.32268110554742,63.66336754098439,63.30754192499606,63.58009338378906,63.58009338378906,1394600
2015-01-29,63.54978134257118,63.57249299148007,63.41350567301182,63.511924743652344,63.511924743652344,1551300
2015-01-30,63.74660065522653,63.86016464233398,63.67846572862466,63.860164642333984,63.860164642333984,10474400
2015-02-02,63.685689605537696,63.860173499884176,63.655350116561536,63.7843132019043,63.7843132019043,6070500
2015-02-03,63.670522347152286,63.716037370163455,63.5491412354292,63.587074279785156,63.587074279785156,1237200
2015-02-04,63.458100742673054,63.61740908475613,63.389822431626584,63.60982131958008,63.60982131958008,2945700
2015-02-05,63.4884688402512,63.541571640036466,63.427778272562016,63.47329330444336,63.47329330444336,2128200
2015-02-06,63.25329045133388,63.28363573331416,63.04846703268038,63.063636779785156,63.063636779785156,2907700
2015-02-09,63.16981082149548,63.18498634879129,63.01050251149653,63.04084777832031,63.04084777832031,1384600
2015-02-10,62.96502274286263,62.99536802666883,62.88916242723268,62.92708969116211,62.92708969116211,1447900
2015-02-11,62.96502274286263,63.00295579456315,62.881574659338355,62.92708969116211,62.92708969116211,1904000
2015-02-12,62.95739746093751,63.04084549473812,62.934639958586,62.9573974609375,62.9573974609375,4662900
2015-02-13,62.987740977815406,62.987740977815406,62.813262939453125,62.813262939453125,62.813262939453125,1883000
2015-02-17,62.798134136162865,62.813309673778505,62.540207874414726,62.562965393066406,62.562965393066406,5281500
2015-02-18,62.653990115462136,62.82847405650609,62.57812979717962,62.7374382019043,62.7374382019043,3813000
2015-02-19,62.76775514715406,62.82085792475307,62.661549591956046,62.68430709838867,62.68430709838867,1322700
2015-02-20,62.77535370527792,62.8739715126982,62.60845757905156,62.699493408203125,62.699493408203125,3145800
2015-02-23,62.8132947618141,62.88156730156116,62.77536171455213,62.82846450805664,62.82846450805664,3952700
2015-02-24,62.828410093015705,63.131856844988135,62.722204597990164,63.086341857910156,63.086341857910156,2542200
2015-02-25,63.07883360398448,63.1622817106516,63.02573078953928,63.1471061706543,63.1471061706543,4934600
2015-02-26,63.07118627773279,63.14704654276866,62.96498074912913,62.97256851196289,62.97256851196289,2187500
2015-02-27,62.98776657202055,63.048457126445356,62.91190627287445,63.025699615478516,63.025699615478516,4094400
2015-03-02,63.05763056592565,63.088035134168884,62.80679722722784,62.82200241088867,62.82200241088867,2476100
2015-03-03,62.806782632360736,62.86759175471654,62.73077412895453,62.74597930908203,62.74597930908203,2648100
2015-03-04,62.78398066124659,62.82959040255198,62.71557474790413,62.74597930908203,62.74597930908203,1425400
2015-03-05,62.761160285328415,62.844771354279295,62.70795376863925,62.78396224975586,62.78396224975586,1340800
2015-03-06,62.56355810773872,62.56355810773872,62.350731957596196,62.41914367675781,62.41914367675781,1580000
2015-03-09,62.54077455341529,62.555979739519394,62.46476602013288,62.49517059326172,62.49517059326172,1982300
2015-03-10,62.66996490512286,62.745979207483074,62.654765524097066,62.73837661743164,62.73837661743164,3766100
2015-03-11,62.73839109856689,62.85240677934698,62.71558912222656,62.80679702758789,62.80679702758789,4829700
2015-03-12,62.98920408753026,63.00440346715412,62.82198191628511,62.852386474609375,62.852386474609375,8421500
2015-03-13,62.79154586791992,62.91315824115165,62.768743910381076,62.79154586791992,62.79154586791992,2114500
2015-03-16,62.95120371548599,62.989210867251266,62.8371880592673,62.9131965637207,62.9131965637207,1203700
2015-03-17,62.920841948977795,62.96644592285156,62.890437366701576,62.96644592285156,62.96644592285156,1471300
2015-03-18,63.03480291531314,63.354042053222656,62.91318469187557,63.354042053222656,63.354042053222656,5534300
